punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,m1Focus,m2Focus
identical,1,pun,-55.5725580109,-45.9323027025,12.517565072,3.3158224,0.0899738185074,0.910026181493,0.302477244497,0.628189596469,2.29814773155,prophet;atheism;organization,prophet;non;organization
identical,2,pun,-48.1642020516,-44.5054206287,13.381782822,2.681660829,0.999309949992,0.000690050008367,0.0057125109434,0.23402400327,1.92934656641,pi;circumference,pi;circumference;large
identical,3,pun,-80.7211367315,-70.5440892878,15.29803952,1.555563493,0.0257620496739,0.974237950326,0.119686869062,1.38201347253,3.23994150866,knead;bakers;bread;recipes,knead;basis;trade
identical,4,pun,-66.9611258978,-54.8936247977,12.101453782,4.732276015,3.19519434384e-06,0.999996804806,4.36267395886e-05,2.30994374216,3.97998310522,oar;rower,oar;choose;either;indecisive;not
identical,5,pun,-48.8691416779,-43.9778085583,13.905232365,2.9039662,0.977414608418,0.0225853915818,0.107937241566,0.925423122369,2.55914568481,tiers;cake;wedding,tiers;emotional;wedding
identical,6,pun,-53.669367562,-45.6542754018,14.874043941,1.515508465,0.998096764445,0.00190323555489,0.0138236712579,0.657260876526,2.34807852821,poll;conduct;decided;flag,poll;flag
identical,7,pun,-37.0015478584,-33.1612244761,12.766698952,5.863772738,0.340196359874,0.659803640126,0.641165636347,1.13868751706,2.66070885146,bored;meetings,bored;chairman;executive;meetings
identical,8,pun,-31.7233363621,-36.884156223,11.360502071,0.906439372,0.999999975657,2.43431692926e-08,4.5110362399e-07,0.36684758088,2.05944398544,greece,greece;donuts
identical,9,pun,-65.4671181338,-63.0512938639,12.075129018,2.132681794,0.917444583828,0.0825554161717,0.284966646898,0.47013216314,2.17808860821,sine;trigonometry,sine;prayed;trigonometry
identical,10,pun,-65.3733650373,-60.9916558549,14.418469023,2.685820168,0.999619093718,0.000380906282271,0.00337969258251,0.337005017955,2.04070479838,principal;just;school,principal;disliked;just;school
identical,11,pun,-48.4234883894,-47.0460509556,14.498376887,0.532854519,0.999999994847,5.15333546889e-09,1.03497639829e-07,0.822071795612,2.62672820999,cd;music;stores,cd
identical,12,pun,-63.1943232485,-50.7792502833,11.482227369,0.509522543,0.00773182287332,0.992268177127,0.0452971526944,0.866491221781,2.59822253263,hare;magician,hare;pulled
identical,13,pun,-83.6915822363,-76.6260536817,10.095780725,-0.364429307,0.468391152619,0.531608847381,0.691147608976,0.52054846584,2.21756214513,knotty;sapling,knotty;admonished;young
identical,14,pun,-55.0026610144,-44.9614271094,12.816605134,3.474704526,0.0112253350331,0.988774664967,0.0615591559751,1.01353043491,2.61372414957,taut;rope,taut;learn;tricks
identical,15,pun,-64.3722324599,-62.5100921939,12.707015052,0.774348492,0.999729563682,0.000270436317997,0.00249216226181,0.702130596802,2.44430170325,marx;class;communism,marx;class
identical,16,pun,-62.6540933699,-55.5556391878,11.409861159,1.262672384,0.804876088868,0.195123911132,0.493567969338,0.361637677462,2.05203646072,hi;people,hi;waves
identical,17,pun,-68.4160268927,-65.6569639341,9.345791123,3.408966062,0.0541464784917,0.945853521508,0.210547866107,0.976622507413,2.59948141819,daze,daze;school;time;tough
identical,18,pun,-39.7539895766,-34.8302237153,12.632094459,2.42885634,0.98640864111,0.0135913588899,0.0719185992645,0.830585455117,2.45534140961,prose;authors,prose;authors;cons
identical,19,pun,-60.1693439375,-47.4677716662,13.487317621,0.357709331,0.534820968766,0.465179031234,0.690720216808,0.777077356529,2.59243269862,plane;flying;food,plane;fancy;food
identical,20,pun,-81.9501094351,-77.8135305035,10.314419694,-2.354750176,0.999764494959,0.000235505040868,0.00220283419314,0.478087818854,2.22914532256,dam;beaver,dam;beaver
identical,21,pun,-30.0531808142,-24.50852725,13.815201833,0.528153064,0.999268202272,0.000731797728233,0.00601511418741,0.497926030204,2.21638043228,hertz;computer,hertz
identical,22,pun,-33.0534133602,-32.6045298702,15.851312495,1.273910951,0.999999696666,3.03334115878e-07,4.85590320163e-06,0.639281420207,2.41700008778,role;actors;movie,role;movie
identical,23,pun,-71.0875524609,-55.5373094809,16.121649858,1.843601449,0.304246609031,0.695753390969,0.614419622143,1.32012405599,3.16328136096,collar;id;man;neck;shirt,collar;id;man;name
identical,24,pun,-40.706722306,-31.6512488425,14.629459359,1.055331112,0.920656851589,0.0793431484111,0.277162173809,0.686845495944,2.54127130372,steal;thieves,steal
identical,25,pun,-63.0313496027,-50.9796116473,14.133044094,-0.904699588,0.659256358616,0.340743641384,0.641527499166,0.930115225476,2.70193219611,dye;gray;hair;strands,dye;gray
identical,26,pun,-45.0773474772,-37.0195912841,13.242363331,2.588060187,0.620695342168,0.379304657832,0.663722696692,1.04174910394,2.80769502226,waist;belt,waist;cardboard;paper
identical,27,pun,-89.7357610528,-81.9946701848,14.204860942,-1.105151636,0.999951529303,4.84706970611e-05,0.000530004140449,1.0960209942,2.88476467563,feet;fourteen;shoes;size,feet;able
identical,28,pun,-44.6863403892,-38.8443141881,12.828943333,0.764662525,0.976931746412,0.023068253588,0.109751231598,0.52634799528,2.25178722114,aloud;say,aloud;wanted
