punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,m1Focus,m2Focus
identical,1,pun,-41.9296984128,-41.9296984128,15.517565072,1.8158224,0.999992690297,7.30970258799e-06,9.37564698515e-05,1.11994984,7.70851815741,prophet;atheism;organization,non;organization
identical,2,pun,-39.3272844736,-39.3272844736,16.381782822,1.181660829,0.999999802364,1.97636209988e-07,3.24851431126e-06,0.725784246805,7.33971699227,pi;circumference,circumference;large
identical,3,pun,-73.7847799981,-73.7847799981,18.29803952,0.055563493,0.9999840222,1.59777997983e-05,0.000192441451226,1.87377371606,8.65031193452,knead;bakers;bread;recipes,basis;trade
identical,4,pun,-66.224610966,-66.224610966,15.101453782,3.232276015,0.980423248508,0.0195767514919,0.0963873043475,2.80170398569,9.39035353107,oar;rower,choose;either;indecisive;not
identical,5,pun,-51.6578549275,-51.6578549275,16.905232365,1.4039662,0.999998071837,1.92816328972e-06,2.73007516216e-05,1.4171833659,7.96951611067,tiers;cake;wedding,emotional;wedding
identical,6,pun,-53.7050358581,-53.7050358581,17.874043941,0.015508465,0.999999993,6.99978056853e-09,1.3843736952e-07,1.14902112006,7.75844895407,poll;conduct;decided;flag,flag
identical,7,pun,-40.2575079768,-40.2575079768,15.766698952,4.363772738,0.999537270045,0.000462729955493,0.00401563326424,1.6304477606,8.07107927732,bored;meetings,chairman;executive;meetings
identical,8,pun,-38.6015207064,-38.6015207064,14.360502071,-0.593560628,0.999999952862,4.71376067123e-08,8.42358209021e-07,0.858607824415,7.46981441129,greece,donuts
identical,9,pun,-68.8644884258,-68.8644884258,15.075129018,0.632681794,0.999910747036,8.92529640806e-05,0.000921446824584,0.961892406676,7.58845903407,sine;trigonometry,prayed;trigonometry
identical,10,pun,-52.0118739237,-52.0118739237,17.418469023,1.185820168,0.999999947069,5.29305347691e-08,9.39743821869e-07,0.82876526149,7.45107522423,principal;just;school,disliked;just;school
identical,11,pun,-40.0918858613,-40.0918858613,17.498376887,-0.967145481,0.999999999986,1.44394207619e-11,3.74862684595e-10,1.31383203915,8.03709863585,cd;music;stores,
identical,12,pun,-61.7631372937,-61.7631372937,14.482227369,-0.990477457,0.999994216086,5.7839137133e-06,7.55403834019e-05,1.35825146532,8.00859295849,hare;magician,pulled
identical,13,pun,-83.7220923643,-83.7220923643,13.095780725,-1.864429307,0.999989232036,1.0767964348e-05,0.000133941951666,1.01230870938,7.62793257099,knotty;sapling,admonished;young
identical,14,pun,-44.8008385175,-44.8008385175,15.816605134,1.974704526,0.999957371322,4.26286775024e-05,0.000471599440842,1.50529067844,8.02409457543,taut;rope,learn;tricks
identical,15,pun,-63.4906797636,-63.4906797636,15.707015052,-0.725651508,0.99999953319,4.66809693638e-07,7.27165515094e-06,1.19389084034,7.85467212911,marx;class;communism,class
identical,16,pun,-59.0444908039,-59.0444908039,14.409861159,-0.237327616,0.999997774458,2.22554228635e-06,3.11921075771e-05,0.853397920997,7.46240688658,hi;people,waves
identical,17,pun,-77.8041865705,-77.8041865705,12.345791123,1.908966062,0.987855597663,0.0121444023365,0.0656379442533,1.46838275095,8.00985184405,daze,school;time;tough
identical,18,pun,-44.1216247517,-44.1216247517,15.632094459,0.92885634,0.999998886947,1.11305344118e-06,1.63712384786e-05,1.32234569865,7.86571183547,prose;authors,authors;cons
identical,19,pun,-65.2223555782,-65.2223555782,16.487317621,-1.142290669,0.999999970565,2.94349819154e-08,5.39869416898e-07,1.26883760006,8.00280312448,plane;flying;food,fancy;food
identical,20,pun,-81.6157752168,-81.6157752168,13.314419694,-3.854750176,0.99999995819,4.18103600365e-08,7.52173463598e-07,0.96984806239,7.63951574842,dam;beaver,beaver
identical,21,pun,-30.6579613632,-30.6579613632,16.815201833,-0.971846936,0.999999968204,3.17959173643e-08,5.80718343007e-07,0.98968627374,7.62675085814,hertz;computer,
identical,22,pun,-35.6585335935,-35.6585335935,18.851312495,-0.226089049,0.999999997849,2.15104055006e-09,4.50800325406e-08,1.13104166374,7.82737051363,role;actors;movie,movie
identical,23,pun,-63.7053625107,-63.7053625107,19.121649858,0.343601449,0.999999995518,4.48249378609e-09,9.0649858685e-08,1.81188429952,8.57365178682,collar;id;man;neck;shirt,id;man;name
identical,24,pun,-35.5320488241,-35.5320488241,17.629459359,-0.444668888,0.999999888225,1.11774894034e-07,1.90093089909e-06,1.17860573948,7.95164172957,steal;thieves,
identical,25,pun,-73.6800975577,-73.6800975577,17.133044094,-2.404699588,0.9999999665,3.35000116775e-08,6.10092833741e-07,1.42187546901,8.11230262197,dye;gray;hair;strands,gray
identical,26,pun,-42.8795625455,-42.8795625455,16.242363331,1.088060187,0.999997850465,2.14953507555e-06,3.02015221945e-05,1.53350934747,8.21806544812,waist;belt,cardboard;paper
identical,27,pun,-73.522533952,-73.522533952,17.204860942,-2.605151636,0.999999999766,2.34024917021e-10,5.42366634471e-09,1.58778123774,8.29513510149,feet;fourteen;shoes;size,able
identical,28,pun,-46.3878285065,-46.3878285065,15.828943333,-0.735337475,0.999999238508,7.61491837961e-07,1.1489378192e-05,1.01810823882,7.662157647,aloud;say,wanted
identical,29,pun,-62.6439824468,-62.6439824468,16.131394265,-2.084145125,0.999999872875,1.2712531484e-07,2.14563281563e-06,1.05262651935,7.70807004957,pail;buckets;carry,
identical,30,pun,-54.9167001586,-54.9167001586,18.290132407,0.111068613,0.999999949284,5.07164371638e-08,9.02601230941e-07,1.36419120397,8.06741810669,manor;castle;home,castle;speaking
identical,31,pun,-75.59093547,-75.59093547,15.494279382,1.545767594,0.999999977009,2.29911572552e-08,4.27363221089e-07,1.97259607199,8.61447728406,cache;computer;online,chips;poker;tournament
identical,32,pun,-57.8699020203,-57.8699020203,18.653084438,0.965152763,0.999999843316,1.56684044932e-07,2.61177174009e-06,2.4175690757,8.95563390543,reign;britain;long;queen,britain;wet
identical,33,pun,-61.1834256888,-61.1834256888,17.49984134,-0.017922536,0.999977692965,2.23070348445e-05,0.000261228702284,2.01843238755,8.82680739194,thyme;gardeners;herb,extra;work
identical,34,pun,-59.0699511075,-59.0699511075,14.943112016,-0.393336676,0.999991841799,8.15820142818e-06,0.000103743627711,1.40161804575,8.10428657116,pore;skin,bad;excuse
identical,35,pun,-55.6599017855,-55.6599017855,15.257685639,-0.826138925,0.999999675527,3.24473225185e-07,5.17244801187e-06,0.996009603916,7.6026865444,gilt;gold,complex;people
identical,36,pun,-21.2378023375,-21.2378023375,16.509669411,0.408764856,0.999999687077,3.12922697809e-07,4.99966279001e-06,0.694348376742,7.30806520489,heir;human,human
