punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,m1Focus,m2Focus
near,1,pun,-67.8711340027,-67.8711340027,13.997211058,-1.861346626,0.99999742458,2.5754203646e-06,3.57197837356e-05,1.30120505999,7.97901283407,lion;circus,driver
near,2,pun,-50.8265126279,-50.8265126279,16.643796321,0.558428204,0.999998715451,1.28454868445e-06,1.87095832262e-05,1.64181485756,8.3343891896,tooth;dentist;patient,tell;whole
near,3,pun,-99.1398967862,-99.1398967862,11.965244351,-2.656443979,0.999999826252,1.73747513331e-07,2.87824267956e-06,1.29090231615,7.88693996802,cilia,ridiculous
near,4,pun,-99.2008505074,-99.2008505074,17.587943037,-2.132293265,0.999999961372,3.86284122562e-08,6.97987509934e-07,1.78622309838,8.47526163586,heir;man;money;inherited;late;father,man;extension
near,5,pun,-64.9887751807,-64.9887751807,18.720599158,0.194343063,0.999999989014,1.09860115347e-08,2.12322723447e-07,2.10968778888,8.76929126129,clothing;men's;wear;store,opening;times
near,6,pun,-77.1170207506,-77.1170207506,12.620862496,-0.372967689,0.999692187065,0.000307812934585,0.0027967465819,1.3506820023,7.9672961209,ambiance,paramedic;job;driver
near,7,pun,-67.0031197877,-67.0031197877,15.595708886,-0.001859578,0.999982210949,1.77890513679e-05,0.00021234645614,1.67832931182,8.29150844425,perches;pet;bird,store;necessary
near,8,pun,-31.7278086598,-31.7278086598,15.928209202,-0.787863724,0.999947034776,5.29652240855e-05,0.000574452797578,0.755318501281,7.3660056896,reword,
near,9,pun,-107.01183937,-107.01183937,14.773158733,-2.986738582,0.999995740139,4.25986099491e-06,5.69384603082e-05,1.6373020165,8.40660127652,math;algebra;class,weapon;disruption
near,10,pun,-94.2512883643,-94.2512883643,16.102587659,-0.953130433,0.999999998737,1.26323965976e-09,2.71464975954e-08,0.915721517634,7.55879166845,stealer;thief;stole,thief;stole
near,11,pun,-128.710843349,-128.710843349,10.165153756,-3.676340707,0.999995157268,4.84273187108e-06,6.41082256214e-05,1.67321729206,8.36055656728,wicker;basket,pranked;hit;humor
near,12,pun,-37.9437398995,-37.9437398995,15.081307459,0.478434478,0.999991866627,8.13337264326e-06,0.000103452683961,0.88443796298,7.4968528507,spatial,lovable
near,13,pun,-70.87872114,-70.87872114,15.325217782,1.39829877,0.999732991553,0.000267008446582,0.00246397977781,1.48498270338,8.09463863331,whirled;turn,astronaut;turn;traveler
near,14,pun,-87.7712144346,-87.7712144346,13.341806423,-1.836602104,0.999994881665,5.11833497604e-06,6.74733660446e-05,1.9894349676,8.54244110055,caesars;brutus',cautioned;run
