homophoneID,phoneticID,observedHomophone,unobservedHomophone,observedProb,unobservedProb
1-a,1,prophet,profit,8.86E-06,5.78E-05
2-a,2,pi,pie,2.04E-05,1.61E-05
3-a,3,knead,need,3.97E-07,0.000530788
4-a,4,oar,or,1.51E-06,0.004305488
5-a,5,tiers,tears,1.48E-06,1.54E-05
6-a,6,poll,pole,3.91E-05,1.56E-05
7-a,7,bored,board,8.51E-06,0.000352928
8-a,8,greece,grease,3.54E-05,5.21E-06
9-a,9,sine,sign,2.41E-06,0.000402674
10-a,10,principal,principle,4.65E-05,2.76E-05
11-a,11,cd,seedy,0.000317184,4.79E-07
12-a,12,hare,hair,3.29E-06,9.98E-05
13-a,13,knotty,naughty,3.37E-07,1.14E-05
14-a,14,taut,taught,6.10E-07,2.67E-05
15-a,15,marx,marks,5.13E-06,3.28E-05
16-a,16,hi,high,0.000112287,0.000574063
17-a,17,daze,days,1.21E-06,0.000507135
18-a,18,prose,pros,5.14E-06,1.39E-05
19-a,19,plane,plain,2.96E-05,3.95E-05
20-a,20,dam,damn,1.53E-05,1.83E-05
21-a,21,hertz,hurts,2.91E-06,4.91E-06
22-a,22,role,roll,0.000122463,5.08E-05
23-a,23,collar,caller,1.25E-05,8.01E-06
24-a,24,steal,steel,1.04E-05,8.22E-05
25-a,25,dye,die,7.59E-06,7.77E-05
26-a,26,waist,waste,8.33E-06,6.83E-05
27-a,27,feet,feat,9.50E-05,8.92E-06
28-a,28,aloud,allowed,6.22E-06,7.40E-05
29-a,29,pail,pale,9.02E-07,9.34E-06
30-a,30,manor,manner,1.18E-05,4.70E-05
31-a,31,cache,cash,2.14E-05,5.62E-07
32-a,32,reign,rain,5.83E-06,4.39E-05
33-a,33,thyme,time,1.67E-06,0.001510206
34-a,34,pore,poor,2.14E-06,7.99E-05
35-a,35,gilt,guilt,1.92E-06,6.02E-06
36-a,36,heir,err,2.24E-06,6.89E-06
37-a,37,son,sun,9.66E-05,0.000201461
38-a,38,c's,seas,3.23E-05,8.74E-06
39-a,39,watt,what,1.34E-05,0.001350155
40-a,40,razor,raiser,5.76E-06,1.43E-06
41-a,41,knot,not,4.95E-06,0.004376542
42-a,42,wood,would,8.50E-05,0.000951675
43-a,43,grader,grater,1.51E-06,3.57E-07
44-a,44,eye,i,8.76E-05,0.005128923
45-a,45,cell,sell,0.000187912,0.000228838
46-a,46,scent,cent,5.45E-06,5.12E-05
47-a,47,course,coarse,0.00029578,4.60E-06
48-a,48,deer,dear,1.66E-05,3.43E-05
49-a,49,bee,be,1.44E-05,0.003986382
50-a,50,brake,break,1.55E-05,8.52E-05
51-a,51,flour,flower,2.47E-07,9.70E-05
52-a,52,fare,fair,9.89E-06,8.23E-05
53-a,53,heel,heal,9.09E-06,6.27E-06
54-a,54,hymn,him,2.80E-06,0.000364825
55-a,55,no's,knows,7.30E-06,4.10E-05
56-a,56,inn,in,0.000109712,0.014075099
57-a,57,idol,idle,9.25E-06,9.84E-06
58-a,58,maid,made,7.06E-06,0.000477562
59-a,59,nun,none,2.58E-06,0.000142145
60-a,60,mourning,morning,2.79E-06,8.88E-05
61-a,61,meat,meet,2.93E-05,0.000155019
62-a,62,reel,real,1.11E-05,0.000494745
63-a,63,pear,pair,7.19E-06,4.33E-05
64-a,64,pray,prey,1.42E-05,5.71E-06
65-a,65,root,route,6.95E-05,5.23E-05
1-b,1,profit,prophet,5.78E-05,8.86E-06
2-b,2,pie,pi,1.61E-05,2.04E-05
3-b,3,need,knead,0.000530788,3.97E-07
4-b,4,or,oar,0.004305488,1.51E-06
5-b,5,tears,tiers,1.54E-05,1.48E-06
6-b,6,pole,poll,1.56E-05,3.91E-05
7-b,7,board,bored,0.000352928,8.51E-06
8-b,8,grease,greece,5.21E-06,3.54E-05
9-b,9,sign,sine,0.000402674,2.41E-06
10-b,10,principle,principal,2.76E-05,4.65E-05
11-b,11,seedy,cd,4.79E-07,0.000317184
12-b,12,hair,hare,9.98E-05,3.29E-06
13-b,13,naughty,knotty,1.14E-05,3.37E-07
14-b,14,taught,taut,2.67E-05,6.10E-07
15-b,15,marks,marx,3.28E-05,5.13E-06
16-b,16,high,hi,0.000574063,0.000112287
17-b,17,days,daze,0.000507135,1.21E-06
18-b,18,pros,prose,1.39E-05,5.14E-06
19-b,19,plain,plane,3.95E-05,2.96E-05
20-b,20,damn,dam,1.83E-05,1.53E-05
21-b,21,hurts,hertz,4.91E-06,2.91E-06
22-b,22,roll,role,5.08E-05,0.000122463
23-b,23,caller,collar,8.01E-06,1.25E-05
24-b,24,steel,steal,8.22E-05,1.04E-05
25-b,25,die,dye,7.77E-05,7.59E-06
26-b,26,waste,waist,6.83E-05,8.33E-06
27-b,27,feat,feet,8.92E-06,9.50E-05
28-b,28,allowed,aloud,7.40E-05,6.22E-06
29-b,29,pale,pail,9.34E-06,9.02E-07
30-b,30,manner,manor,4.70E-05,1.18E-05
31-b,31,cash,cache,5.62E-07,2.14E-05
32-b,32,rain,reign,4.39E-05,5.83E-06
33-b,33,time,thyme,0.001510206,1.67E-06
34-b,34,poor,pore,7.99E-05,2.14E-06
35-b,35,guilt,gilt,6.02E-06,1.92E-06
36-b,36,err,heir,6.89E-06,2.24E-06
37-b,37,sun,son,0.000201461,9.66E-05
38-b,38,seas,c's,8.74E-06,2.61E-09
39-b,39,what,watt,0.001350155,1.34E-05
40-b,40,raiser,razor,1.43E-06,5.76E-06
41-b,41,not,knot,0.004376542,4.95E-06
42-b,42,would,wood,0.000951675,8.50E-05
43-b,43,grater,grader,3.57E-07,1.51E-06
44-b,44,i,eye,0.005128923,8.76E-05
45-b,45,sell,cell,0.000228838,0.000187912
46-b,46,cent,scent,5.12E-05,5.45E-06
47-b,47,coarse,course,4.60E-06,0.00029578
48-b,48,dear,deer,3.43E-05,1.66E-05
49-b,49,be,bee,0.003986382,1.44E-05
50-b,50,break,brake,8.52E-05,1.55E-05
51-b,51,flower,flours,9.70E-05,2.47E-07
52-b,52,fair,fare,8.23E-05,9.89E-06
53-b,53,heal,heel,6.27E-06,9.09E-06
54-b,54,him,hymn,0.000364825,2.80E-06
55-b,55,knows,no's,4.10E-05,1.66E-12
56-b,56,in,inn,0.014075099,0.000109712
57-b,57,idle,idol,9.84E-06,9.25E-06
58-b,58,made,maid,0.000477562,7.06E-06
59-b,59,none,nun,0.000142145,2.58E-06
60-b,60,morning,mourning,8.88E-05,2.79E-06
61-b,61,meet,meat,0.000155019,2.93E-05
62-b,62,real,reel,0.000494745,1.11E-05
63-b,63,pair,pear,4.33E-05,7.19E-06
64-b,64,prey,pray,5.71E-06,1.42E-05
65-b,65,route,root,5.23E-05,6.95E-05
