sentenceID,sentenceType,homophoneID,version,sentence,m1,m2,funniness
1,pun,1,a,A circus truck driver refused to tow the lion.,lion,line,0.380756856
2,pun,2,a,A dentist has to tell a patient the whole tooth.,tooth,truth,1.409064865
3,pun,3,a,"A handlebar mustache may look ridiculous, but symmetrical eyelashes are even cilia.",cilia,sillier,1.124470345
4,pun,4,a,A man used money that he had inherited from his late father and put an addition on his house. It was an heir extension.,heir,hair,1.230159139
5,pun,5,a,A men's wear store has opening and clothing times.,clothing,closing,0.439348245
6,pun,6,a,A paramedic got a new job as a chauffeur: an ambiance driver.,ambiance,ambulance,1.111790574
7,pun,7,a,A pet store had a bird contest with no perches necessary.,perches,purchase,1.521133043
8,pun,8,a,A pun is its own reword.,reword,reward,0.994169407
9,pun,9,a,A rubber band pistol was confiscated from algebra class because it was a weapon of math disruption.,math,mass,1.970024697
10,pun,10,a,A thief who stole cutlery without leaving a clue was called the 'stainless stealer.',stealer,steeler,1.458079566
11,pun,11,a,"After getting pranked by his friends and getting hit with a basket, Aron knew they had a wicker sense of humor.",wicker,wicked,0.579805283
12,pun,12,a,Aliens are lovable because they're so spatial.,spatial,special,0.923865203
13,pun,13,a,An astronaut gets to take a turn as a whirled traveler.,whirled,world,0.241169362
14,pun,14,a,"As a young boy, Brutus' mother often cautioned him not to run with Caesars.",caesars,scissors,1.172148634
15,pun,15,a,Astronauts like to do launch.,launch,lunch,1.074441443
16,pun,16,a,At a flower show the first prize is often a bloom ribbon.,bloom,blue,0.070176069
17,pun,17,a,"At a pet store: 'buy one dog, get one flea'.",flea,free,1.350978202
18,pun,18,a,Be kind to your dentist because he has fillings too.,fillings,feelings,1.415691733
19,pun,19,a,"Bell, Bark and Kennel, a novel by Ivan Pavlov, chronicles the birth of the Salivation Army.",salivation,salvation,-0.007576218
20,pun,20,a,Dentists don't like a hard day at the orifice.,orifice,office,1.227148257
21,pun,21,a,"Even though Ashley was blind and under arrest, she still had hope that someone would braille her out.",braille,bail,1.38187117
22,pun,22,a,"Even though he contributes either the X or Y chromosome, when a father chooses the sex of his child it's just a sperm of the moment decision.",sperm,spur,1.092832334
23,pun,23,a,For children to eat without washing their hands would be a grime.,grime,crime,0.727533023
24,pun,24,a,Grandparents faces are full of epoch marks.,epoch,pock,0.140680802
25,pun,25,a,He labored so hard that he worked his fingers to the bonus.,bonus,bones,0.948748075
26,pun,26,a,I keep reading 'The Lord of the Rings' over and over. I guess it's just force of hobbit.,hobbit,habit,1.745350459
27,pun,27,a,I like the latest horror movie so much that I've arranged a private screaming.,screaming,screening,1.190261912
28,pun,28,a,I like to stay current with the electrifying adventures of Sherlock ohms.,ohms,Holmes,1.259126077
29,pun,29,a,I need to do my philosophy homework but I just Kant.,kant,can't,1.294552671
30,pun,30,a,If a barista is not allowed to make espresso she will lose her tamper.,tamper,temper,0.543439401
31,pun,31,a,If you spend too much time in the coffee shop you'll be latte for work.,latte,late,1.484987006
32,pun,32,a,If you write bad things about me I am libel to sue you.,libel,liable,0.472188322
33,pun,33,a,"In the novel, there is an unexpected secret meeting of the lovers. It is a plot tryst.",tryst,twist,1.046974297
34,pun,34,a,Inflammatory talk is often seen as propane language.,propane,profane,1.144711775
35,pun,35,a,"John plans to retire in the spring and, like the trees around us, will be leafing.",leafing,leaving,1.370253755
