sentenceID,homophoneID,version,sentenceType,m1,word,m1_relatedness,m2_relatedness,unigram,m1_trigram,m2_trigram
1,1,a,pun,lion,lion,0,0,9.62E-06,3.25E-05,0.211981
1,1,a,pun,lion,circus,1.377983027,-0.630542589,5.69E-06,2.82E-05,2.82E-05
1,1,a,pun,lion,truck,-0.657045944,-0.412135754,8.84E-06,6.36E-06,6.36E-06
1,1,a,pun,lion,driver,-1.042229239,0.006942127,4.16E-05,0.0283825,0.0283825
1,1,a,pun,lion,refused,-0.803420041,-0.599020207,5.00E-05,0.000654927,0.000654927
1,1,a,pun,lion,tow,-0.878076745,-0.226590203,3.32E-06,7.02E-06,7.02E-06
2,2,a,pun,tooth,tooth,0,0,5.14E-06,8.22E-06,0.00633237
2,2,a,pun,tooth,dentist,1.62355512,-0.565572904,4.45E-06,2.27E-05,2.27E-05
2,2,a,pun,tooth,tell,-0.768492084,0.804145346,0.00023301,0.00258572,0.00258572
2,2,a,pun,tooth,patient,0.111725948,-0.432490434,6.59E-05,0.000173539,0.000173539
2,2,a,pun,tooth,whole,-0.322992663,0.752346196,0.000240294,0.00147051,0.00147051
3,3,a,pun,cilia,cilia,0,0,2.93E-07,1.55E-07,6.71E-08
3,3,a,pun,cilia,handlebar,-0.820549264,-0.742520611,3.41E-07,1.16E-06,1.16E-06
3,3,a,pun,cilia,mustache,-0.010195246,-0.297709011,5.69E-08,0.831402,0.831402
3,3,a,pun,cilia,look,-0.923160237,-0.675208967,0.00041849,0.00319111,0.00319111
3,3,a,pun,cilia,ridiculous,-0.950474383,1.151378004,1.43E-05,0.000685713,0.000685713
3,3,a,pun,cilia,symmetrical,-0.360338435,-0.683703022,2.69E-06,1.38E-07,1.38E-07
3,3,a,pun,cilia,eyelashes,-0.040038203,-0.681557747,1.36E-06,2.23E-06,2.23E-06
3,3,a,pun,cilia,even,-0.929999881,-0.727122625,0.000706388,0.00095727,0.00095727
4,4,a,pun,heir,heir,0,0,7.75E-06,0.000247423,3.76E-06
4,4,a,pun,heir,man,0.502701118,1.063789627,0.000473597,0.00439232,0.00439232
4,4,a,pun,heir,used,-0.58932926,-0.569021165,0.000527346,0.00107986,0.00107986
4,4,a,pun,heir,money,1.381728734,-0.374102282,0.000292629,7.36E-05,7.36E-05
4,4,a,pun,heir,inherited,1.404774565,-0.190257313,1.23E-05,0.00114214,0.00114214
4,4,a,pun,heir,late,0.17890769,-0.845278073,0.000157232,0.000102507,0.000102507
4,4,a,pun,heir,father,0.721817788,-0.413880798,0.000182887,0.0596654,0.0596654
4,4,a,pun,heir,put,-0.62358598,-0.378372875,0.000461753,0.000412531,0.000412531
4,4,a,pun,heir,addition,-0.382613152,-0.450466895,8.02E-05,0.000109647,0.000109647
4,4,a,pun,heir,house,-0.575083639,-0.768492084,0.000395396,0.000857988,0.000857988
4,4,a,pun,heir,extension,-0.431374827,0.793788593,2.82E-05,3.65E-06,0.000176939
5,5,a,pun,clothing,clothing,0,0,1.72E-05,3.22E-05,0.355764
5,5,a,pun,clothing,men's,0.854047774,-0.864343966,1.71E-07,1.50E-05,1.50E-05
5,5,a,pun,clothing,wear,1.273718445,-0.628833021,4.04E-05,0.000220822,0.000220822
5,5,a,pun,clothing,store,1.517614712,-0.019507567,3.49E-05,0.00012587,0.00012587
5,5,a,pun,clothing,opening,-0.389128151,1.277368953,6.12E-05,4.96E-06,4.96E-06
5,5,a,pun,clothing,times,-0.535653622,0.429658664,0.000235099,1.45E-05,0.00744207
6,6,a,pun,ambiance,ambiance,0,0,9.75E-08,5.32E-08,0.000524477
6,6,a,pun,ambiance,paramedic,-0.892589298,0.382651093,3.09E-07,5.80E-06,5.80E-06
6,6,a,pun,ambiance,got,-0.57113356,-0.863688194,0.000691414,0.000168127,0.000168127
6,6,a,pun,ambiance,new,-0.360169455,-0.906119465,0.000999228,0.0130291,0.0130291
6,6,a,pun,ambiance,job,-0.696788693,0.562416838,0.000178196,0.00523224,0.00523224
6,6,a,pun,ambiance,chauffeur,-0.314530643,-0.390131783,2.09E-06,4.99E-05,4.99E-05
6,6,a,pun,ambiance,driver,-0.543925855,0.841903822,4.16E-05,3.28E-05,0.03168
7,7,a,pun,perches,perches,0,0,3.33E-07,2.19E-07,3.95E-05
7,7,a,pun,perches,pet,0.543119058,-0.331846317,1.13E-05,5.40E-05,5.40E-05
7,7,a,pun,perches,store,-0.725018344,1.273688022,3.49E-05,0.000558732,0.000558732
7,7,a,pun,perches,bird,1.191686169,-0.501370858,3.11E-05,6.08E-05,6.08E-05
7,7,a,pun,perches,contest,-0.590919012,-0.562537662,1.36E-05,4.43E-06,4.43E-06
7,7,a,pun,perches,necessary,-0.823158985,0.120207237,0.000143307,3.20E-05,0.000356732
8,8,a,pun,reword,reword,0,0,1.63E-08,1.16E-08,0.00187449
8,8,a,pun,reword,pun,-0.071790798,-0.787863724,1.02E-06,1.19E-05,1.19E-05
9,9,a,pun,math,math,0,0,2.60E-07,7.33E-08,0.000179789
9,9,a,pun,math,rubber,-0.748391508,-0.582838844,1.26E-05,0.000242318,0.000242318
9,9,a,pun,math,band,-0.876819151,-0.749418744,5.37E-05,0.102191,0.102191
9,9,a,pun,math,pistol,-0.820549264,-0.736901481,4.54E-06,1.14E-06,1.14E-06
9,9,a,pun,math,confiscated,-0.577110797,-0.812923943,1.73E-06,4.57E-05,4.57E-05
9,9,a,pun,math,algebra,1.85746101,-0.518226951,1.52E-06,7.27E-07,7.27E-07
9,9,a,pun,math,class,1.118197093,-0.250535633,0.000144006,5.69E-05,5.69E-05
9,9,a,pun,math,weapon,-0.317952911,0.460125844,1.57E-05,6.59E-05,6.59E-05
9,9,a,pun,math,disruption,-0.861675739,0.20398117,7.06E-06,9.43E-06,2.10E-06
10,10,a,pun,stealer,stealer,0,0,2.52E-07,1.49E-09,2.80E-10
10,10,a,pun,stealer,thief,1.548432432,0.538072559,5.80E-06,5.60E-05,5.60E-05
10,10,a,pun,stealer,stole,1.694467811,0.789595372,7.29E-06,0.0641827,0.0641827
10,10,a,pun,stealer,cutlery,-0.608574651,-0.228020166,2.47E-06,9.30E-07,9.30E-07
10,10,a,pun,stealer,leaving,-0.696696471,-0.827171198,7.66E-05,0.00178747,0.00178747
10,10,a,pun,stealer,clue,-0.367417642,-0.296696232,8.87E-06,9.02E-05,9.02E-05
10,10,a,pun,stealer,called,-0.73993729,-0.835115108,0.00026112,0.00180818,0.00180818
10,10,a,pun,stealer,stainless,-0.72768653,-0.09379566,2.50E-06,4.62E-06,4.62E-06
11,11,a,pun,wicker,wicker,0,0,1.68E-06,8.97E-06,8.18E-05
11,11,a,pun,wicker,getting,-0.802963762,-0.791296213,0.000157378,0.00070527,0.00070527
11,11,a,pun,wicker,pranked,-0.945886353,0.291268252,8.13E-09,0.00803361,0.00803361
11,11,a,pun,wicker,friends,-0.929679135,-0.555701691,0.000116952,0.00647206,0.00647206
11,11,a,pun,wicker,getting,-0.645101213,-0.696201398,0.000157378,0.000115448,0.000115448
11,11,a,pun,wicker,hit,-0.818366589,0.114935389,7.79E-05,0.000384009,0.000384009
11,11,a,pun,wicker,basket,1.40920629,-0.680156607,1.02E-05,0.000285154,0.000285154
11,11,a,pun,wicker,aron,-0.878076745,-0.754020104,1.14E-07,0.00247468,0.00247468
11,11,a,pun,wicker,knew,-0.853144038,-0.869254404,0.000193747,0.000160494,0.000160494
11,11,a,pun,wicker,sense,-0.674633301,-0.379664444,0.000171677,3.54E-05,0.0290488
11,11,a,pun,wicker,humor,-0.696201398,0.643750513,1.06E-07,0.0613029,0.0613029
12,12,a,pun,spatial,spatial,0,0,9.84E-06,2.92E-06,0.000569495
12,12,a,pun,spatial,aliens,-0.331103175,-0.179464204,2.86E-06,2.50E-07,2.50E-07
12,12,a,pun,spatial,lovable,-0.587589366,0.657898682,1.18E-06,3.98E-06,3.98E-06
13,13,a,pun,whirled,whirled,0,0,1.55E-06,1.61E-07,0.000622365
13,13,a,pun,whirled,astronaut,-0.177755161,1.200440109,7.80E-07,0.000107909,0.000107909
13,13,a,pun,whirled,gets,-0.753138191,-0.625352039,6.10E-05,5.91E-05,5.91E-05
13,13,a,pun,whirled,take,-0.7778778,-0.602837689,0.000559789,0.00200432,0.00200432
13,13,a,pun,whirled,turn,1.733512144,0.32137873,0.000163905,0.00412682,0.00412682
13,13,a,pun,whirled,traveler,-0.69952321,1.104669659,2.44E-08,4.48E-06,5.68E-06
14,14,a,pun,caesars,caesars,0,0,1.71E-07,5.98E-09,2.90E-05
