workerid	Answer.age	Answer.gender	Answer.nativeLanguage	Answer.condition	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59																
A3OMUSG91MTI3H	25	F	English	0	-1.164625511	-0.413664799	-0.413664799	-1.164625511	-1.164625511	-1.164625511	-1.164625511	-0.413664799	-1.164625511	-1.164625511	-0.789145155	-1.164625511	-0.038184443	0.712776269	1.088256625	1.088256625	1.088256625	1.088256625	1.088256625	1.088256625	1.088256625	1.088256625	1.088256625	1.088256625	1.088256625	1.088256625	1.088256625	0.337295913	1.088256625	1.088256625	-0.789145155	-0.038184443	0.337295913	1.088256625	0.337295913	1.088256625	1.088256625	0.337295913	-1.164625511	1.088256625	1.088256625	0.337295913	1.088256625	-1.164625511	-0.789145155	1.088256625	-0.038184443	-1.164625511	-1.164625511	-1.164625511	-1.164625511	-1.164625511	-1.164625511	-1.164625511	1.088256625	-1.164625511	-1.164625511	-1.164625511	-0.413664799																
A2WDO0GBTENFFV	25	M	English	0	-0.546124258	0.988224849	1.499674551	0.476775146	-0.034674556	-0.034674556	-1.057573961	-0.546124258	-1.569023663	-1.569023663	-1.057573961	-0.546124258	-0.034674556	0.476775146	0.476775146	0.988224849	0.476775146	1.499674551	0.476775146	0.476775146	0.476775146	0.988224849	0.476775146	-0.034674556	0.988224849	0.476775146	-0.034674556	0.988224849	-0.034674556	1.499674551	0.988224849	0.988224849	0.476775146	0.988224849	-1.057573961	1.499674551	0.476775146	0.988224849	-1.057573961	0.476775146	-1.569023663	-1.569023663	0.988224849	-1.057573961	-1.057573961	1.499674551	-1.569023663	0.476775146	-0.034674556	-1.057573961	-1.569023663	-1.057573961	-1.057573961	-1.057573961	-1.569023663	1.499674551	0.476775146	-1.057573961	-1.057573961																
A3VIM82WAK5TIZ	65	M	English	0	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	1.012973252	-1.024484311	0.673396991	-1.024484311	-0.00575553	1.012973252	1.012973252	1.012973252	-0.00575553	1.012973252	0.673396991	1.012973252	1.012973252	-1.024484311	-1.024484311	1.012973252	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	-1.024484311	1.012973252	1.012973252	-1.024484311	-1.024484311																
AO3XB5I5QNNUI	65	F	English	0	-0.961966478	-0.586098781	-0.961966478	-0.961966478	-0.961966478	-0.586098781	-0.961966478	-0.961966478	-0.586098781	-0.961966478	-0.961966478	-0.961966478	-0.586098781	0.917372006	0.541504309	1.293239702	1.293239702	0.917372006	1.293239702	1.293239702	1.293239702	1.293239702	0.541504309	1.293239702	0.541504309	1.293239702	1.293239702	1.293239702	1.293239702	1.293239702	-0.961966478	-0.961966478	-0.586098781	0.541504309	0.917372006	1.293239702	-0.961966478	0.917372006	-0.961966478	0.541504309	1.293239702	1.293239702	0.917372006	-0.961966478	-0.961966478	1.293239702	0.165636612	-0.961966478	-0.586098781	-0.961966478	-0.961966478	-0.961966478	-0.961966478	-0.961966478	-0.961966478	-0.961966478	-0.961966478	-0.961966478	-0.586098781																
A3CCO4SVP8T75H	35	F	english	0	-1.084676736	-1.084676736	-1.084676736	-1.084676736	0.195241812	-1.084676736	-1.084676736	-1.084676736	0.621881328	-1.084676736	0.195241812	-1.084676736	-1.084676736	1.048520844	1.048520844	1.47516036	1.048520844	1.048520844	1.048520844	1.048520844	1.048520844	1.048520844	1.048520844	1.048520844	0.621881328	0.621881328	1.048520844	1.048520844	0.621881328	1.048520844	1.048520844	0.621881328	0.621881328	0.621881328	1.048520844	1.048520844	0.621881328	0.621881328	-1.084676736	0.621881328	1.47516036	0.195241812	0.621881328	-1.084676736	-1.084676736	-1.084676736	-1.084676736	-1.084676736	-1.084676736	-1.084676736	-1.084676736	-1.084676736	-1.084676736	-1.084676736	-1.084676736	-1.084676736	1.048520844	-1.084676736	-1.084676736																
A26F9VP8ELLZC4	65	F	English	0	-1.034587355	-1.034587355	-1.034587355	0.068556993	-1.034587355	-1.034587355	-1.034587355	-1.034587355	0.803986559	-1.034587355	-0.299157789	-1.034587355	-1.034587355	1.171701342	0.436271776	0.803986559	0.803986559	0.803986559	1.171701342	1.171701342	1.171701342	1.171701342	0.436271776	1.171701342	1.171701342	1.171701342	-0.299157789	1.171701342	1.171701342	1.171701342	1.171701342	0.436271776	1.171701342	1.171701342	1.171701342	1.171701342	-0.299157789	1.171701342	-1.034587355	0.803986559	1.171701342	-1.034587355	0.803986559	-1.034587355	-1.034587355	-1.034587355	-1.034587355	-1.034587355	-0.299157789	-1.034587355	-1.034587355	-1.034587355	-1.034587355	-1.034587355	-1.034587355	0.803986559	-1.034587355	-1.034587355	-1.034587355																
A17FVQS8BZQNVB	35	F	english	0	-0.970979793	-0.970979793	0.598549187	-0.970979793	-0.578597548	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.578597548	-0.970979793	-0.970979793	0.990931432	0.990931432	0.206166942	0.990931432	0.990931432	1.383313677	0.990931432	0.990931432	1.383313677	0.990931432	1.383313677	0.990931432	1.383313677	0.990931432	0.990931432	1.383313677	0.990931432	0.990931432	-0.578597548	0.990931432	1.383313677	0.598549187	0.990931432	0.990931432	1.383313677	-0.970979793	0.990931432	0.598549187	0.990931432	-0.578597548	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793	-0.970979793																
A3GND4YUBDIQ02	35	M	English	0	-0.292946956	0.174184677	0.64131631	-0.76007859	-0.76007859	-0.76007859	-1.227210223	-1.227210223	-0.76007859	-0.292946956	-1.227210223	-1.227210223	-0.76007859	0.174184677	1.575579576	0.174184677	1.108447943	1.575579576	1.108447943	0.64131631	1.108447943	1.108447943	1.108447943	1.575579576	1.108447943	0.64131631	1.575579576	1.108447943	1.108447943	1.575579576	0.64131631	-0.292946956	0.174184677	1.108447943	-0.292946956	0.174184677	0.64131631	1.108447943	0.174184677	0.174184677	1.575579576	0.64131631	-0.292946956	-1.227210223	-0.76007859	-1.227210223	-0.76007859	-1.227210223	-0.292946956	-1.227210223	-1.227210223	-1.227210223	-1.227210223	-1.227210223	0.64131631	-1.227210223	-0.76007859	-1.227210223	-1.227210223																
A34RMF77M4N9VB	35	F	English	0	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	1.88528481	1.450785577	1.88528481	-0.721710591	1.450785577	1.450785577	-0.721710591	1.450785577	1.450785577	1.016286343	-0.721710591	0.581787109	1.016286343	1.450785577	1.88528481	0.581787109	-0.721710591	0.581787109	1.450785577	-0.287211358	1.450785577	-0.287211358	-0.287211358	1.450785577	1.450785577	1.450785577	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	-0.721710591	1.450785577	-0.721710591	-0.721710591																
A195MOXRMNHRVT	35	F	English	0	-0.937426733	-1.318862439	0.969751793	-0.937426733	-0.937426733	-0.937426733	-0.937426733	-0.174555323	-0.937426733	-1.318862439	-0.937426733	-1.318862439	-0.937426733	0.969751793	0.969751793	0.969751793	0.969751793	0.969751793	0.969751793	0.969751793	0.969751793	0.588316088	0.969751793	0.969751793	0.969751793	0.969751793	0.969751793	0.969751793	0.969751793	0.969751793	0.969751793	0.588316088	0.969751793	0.969751793	-0.555991028	0.969751793	0.969751793	0.969751793	0.969751793	-0.174555323	0.969751793	-1.318862439	0.969751793	-0.937426733	-0.937426733	-0.937426733	-1.318862439	-1.318862439	0.969751793	-0.937426733	-0.937426733	-1.318862439	-0.174555323	-0.937426733	-0.937426733	-1.318862439	0.969751793	-1.318862439	-1.318862439																
