workerID,age,gender,language,condition,uniquePairID,wordOrder,order,relatedness
A3MMLCBV2W3BP9,25,M,English,1,1,1,74,-0.614132707
A3N934I1DEVO86,25,F,English,1,1,0,24,-0.777245657
ACQB8FMHUZSY3,66,F,English,1,1,1,96,-1.279490322
A1H8RYUHVWDCET,25,M,English,1,1,0,44,-1.049301302
AHFAK8MV9Q4FW,35,F,english,1,1,0,47,-1.321255888
AYIXPBMA2KH5V,25,M,english,1,1,0,20,0.439959315
ALZOR99685SSS,35,F,english,1,1,0,112,-0.382216403
A2WR0XP4UXY4IY,35,M,english,1,1,1,56,1.350035686
A18WYFFG3VF0O1,35,F,english,1,1,1,10,1.864725339
A3F8N2FOZYE9DG,25,F,English,1,1,1,13,-0.848564031
AY1QJ58OBT0RE,25,M,English,1,1,0,44,-1.018457805
A2NVJ6LBQVLHF1,35,M,english,1,1,0,92,0.88761615
A3O1JZVX2L1BMK,25,F,English,1,1,1,75,-0.78642104
A15J1YSKM94GXB,45,F,english,1,1,1,108,-0.567355476
A34N9G0IEI28IG,35,M,English,3,2,0,47,-0.493528273
A2BRYWJD6T00BE,45,F,English,3,2,1,42,-0.755991229
A3TSHG5R492EHU,35,M,English,3,2,1,67,-0.39667598
AUT9RW2VFXMDX,25,F,English,3,2,0,45,1.951286425
A2SYRFPPV9WDEG,35,M,English,3,2,1,92,0.456623723
A2EXMUJYR843HT,25,F,English,3,2,0,71,-0.738329507
AXYWBND4033L6,25,F,english,3,2,0,14,1.324957166
A80X2FTFDSR19,35,F,English,3,2,1,91,-0.428095875
AB8PPBUBK4FA4,25,F,English,3,2,0,2,1.375853729
A1AWNYS0X4DSGC,25,F,English,3,2,0,46,-0.827692347
A2QT68NJYAJV9P,45,F,English,3,2,1,139,-0.717934996
A1T01T5PJUJKXG,17,M,English,3,2,1,93,-0.58932425
A37B3260OPTYV2,35,M,English,3,2,1,33,-0.555101435
A3INS04P6H46JT,45,M,English,3,2,0,95,0.9363438
A3FWVUR0IF6IWD,35,M,English,3,2,0,70,-0.930196855
A31JRBOBVU0RQX,25,F,english,3,2,1,36,-0.668183092
A38VIZX42CERKQ,25,M,English,3,2,1,56,-0.518677008
A21WHAE8CM3XRT,45,F,English,3,2,1,66,-0.695731656
ABIXKV6USOPKS,65,F,English,3,2,0,67,-0.846936439
A1ER4IXLVU27O,25,F,English,3,2,1,116,1.943087398
A10C2MCVJK0C9F,25,M,English,3,2,1,136,0.848016938
A80J1R9FQLUPS,25,M,English,3,2,0,10,-0.691129718
