workerID,gender,age,condition,uniqueID,order,funniness,zscored
A3CQZVJVN8AVQ8,M,35,6,51,15,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,52,24,5,2.72134353949
A3CQZVJVN8AVQ8,M,35,6,53,27,4,1.90900218442
A3CQZVJVN8AVQ8,M,35,6,54,13,3,1.09666082934
A3CQZVJVN8AVQ8,M,35,6,55,26,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,56,17,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,57,11,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,58,39,4,1.90900218442
A3CQZVJVN8AVQ8,M,35,6,59,18,4,1.90900218442
A3CQZVJVN8AVQ8,M,35,6,60,34,5,2.72134353949
A3CQZVJVN8AVQ8,M,35,6,121,10,2,0.284319474275
A3CQZVJVN8AVQ8,M,35,6,122,25,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,123,40,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,124,31,4,1.90900218442
A3CQZVJVN8AVQ8,M,35,6,125,20,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,126,35,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,127,5,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,128,6,2,0.284319474275
A3CQZVJVN8AVQ8,M,35,6,129,4,2,0.284319474275
A3CQZVJVN8AVQ8,M,35,6,130,38,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,221,28,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,222,19,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,223,2,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,224,14,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,225,7,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,226,29,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,227,32,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,228,23,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,229,36,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,230,33,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,261,22,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,262,1,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,263,12,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,264,16,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,265,9,2,0.284319474275
A3CQZVJVN8AVQ8,M,35,6,266,21,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,267,8,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,268,37,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,269,30,1,-0.528021880796
A3CQZVJVN8AVQ8,M,35,6,270,3,1,-0.528021880796
AA9SCJ5HQZYT2,F,35,5,41,7,6,2.17698358811
AA9SCJ5HQZYT2,F,35,5,42,21,4,1.0676925878
AA9SCJ5HQZYT2,F,35,5,43,40,5,1.62233808795
AA9SCJ5HQZYT2,F,35,5,44,6,5,1.62233808795
AA9SCJ5HQZYT2,F,35,5,45,32,6,2.17698358811
AA9SCJ5HQZYT2,F,35,5,46,36,6,2.17698358811
AA9SCJ5HQZYT2,F,35,5,47,18,4,1.0676925878
AA9SCJ5HQZYT2,F,35,5,48,14,4,1.0676925878
AA9SCJ5HQZYT2,F,35,5,49,28,4,1.0676925878
AA9SCJ5HQZYT2,F,35,5,50,39,6,2.17698358811
AA9SCJ5HQZYT2,F,35,5,131,13,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,132,26,3,0.513047087643
AA9SCJ5HQZYT2,F,35,5,133,25,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,134,38,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,135,2,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,136,11,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,137,1,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,138,15,2,-0.0415984125116
AA9SCJ5HQZYT2,F,35,5,139,22,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,140,17,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,231,12,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,232,3,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,233,20,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,234,31,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,235,30,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,236,9,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,237,4,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,238,16,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,239,27,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,240,5,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,271,23,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,272,10,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,273,29,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,274,35,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,275,33,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,276,37,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,277,8,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,278,19,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,279,34,1,-0.596243912666
AA9SCJ5HQZYT2,F,35,5,280,24,1,-0.596243912666
A3589EV8CHMX0,F,35,6,51,4,1,-0.522992074566
A3589EV8CHMX0,F,35,6,52,33,3,0.450016436255
A3589EV8CHMX0,F,35,6,53,8,6,1.90952920249
A3589EV8CHMX0,F,35,6,54,22,6,1.90952920249
A3589EV8CHMX0,F,35,6,55,9,1,-0.522992074566
A3589EV8CHMX0,F,35,6,56,7,6,1.90952920249
A3589EV8CHMX0,F,35,6,57,35,3,0.450016436255
A3589EV8CHMX0,F,35,6,58,6,7,2.3960334579
A3589EV8CHMX0,F,35,6,59,17,7,2.3960334579
A3589EV8CHMX0,F,35,6,60,21,7,2.3960334579
A3589EV8CHMX0,F,35,6,121,3,5,1.42302494708
A3589EV8CHMX0,F,35,6,122,37,1,-0.522992074566
A3589EV8CHMX0,F,35,6,123,15,1,-0.522992074566
A3589EV8CHMX0,F,35,6,124,16,1,-0.522992074566
A3589EV8CHMX0,F,35,6,125,28,1,-0.522992074566
A3589EV8CHMX0,F,35,6,126,24,1,-0.522992074566
A3589EV8CHMX0,F,35,6,127,27,1,-0.522992074566
A3589EV8CHMX0,F,35,6,128,11,3,0.450016436255
A3589EV8CHMX0,F,35,6,129,14,1,-0.522992074566
A3589EV8CHMX0,F,35,6,130,30,1,-0.522992074566
A3589EV8CHMX0,F,35,6,221,2,1,-0.522992074566
A3589EV8CHMX0,F,35,6,222,12,1,-0.522992074566
A3589EV8CHMX0,F,35,6,223,10,1,-0.522992074566
A3589EV8CHMX0,F,35,6,224,25,1,-0.522992074566
A3589EV8CHMX0,F,35,6,225,40,1,-0.522992074566
A3589EV8CHMX0,F,35,6,226,38,1,-0.522992074566
A3589EV8CHMX0,F,35,6,227,19,1,-0.522992074566
A3589EV8CHMX0,F,35,6,228,29,1,-0.522992074566
A3589EV8CHMX0,F,35,6,229,1,1,-0.522992074566
A3589EV8CHMX0,F,35,6,230,23,1,-0.522992074566
A3589EV8CHMX0,F,35,6,261,18,1,-0.522992074566
A3589EV8CHMX0,F,35,6,262,20,1,-0.522992074566
A3589EV8CHMX0,F,35,6,263,26,1,-0.522992074566
A3589EV8CHMX0,F,35,6,264,13,1,-0.522992074566
A3589EV8CHMX0,F,35,6,265,39,1,-0.522992074566
A3589EV8CHMX0,F,35,6,266,31,1,-0.522992074566
A3589EV8CHMX0,F,35,6,267,32,1,-0.522992074566
A3589EV8CHMX0,F,35,6,268,36,1,-0.522992074566
A3589EV8CHMX0,F,35,6,269,5,1,-0.522992074566
A3589EV8CHMX0,F,35,6,270,34,1,-0.522992074566
A3D9XIIMIFT8J5,M,35,5,41,17,6,1.95980486253
A3D9XIIMIFT8J5,M,35,5,42,32,4,0.863410533843
A3D9XIIMIFT8J5,M,35,5,43,26,6,1.95980486253
A3D9XIIMIFT8J5,M,35,5,44,35,4,0.863410533843
A3D9XIIMIFT8J5,M,35,5,45,33,5,1.41160769819
A3D9XIIMIFT8J5,M,35,5,46,27,6,1.95980486253
A3D9XIIMIFT8J5,M,35,5,47,28,4,0.863410533843
A3D9XIIMIFT8J5,M,35,5,48,6,5,1.41160769819
A3D9XIIMIFT8J5,M,35,5,49,4,6,1.95980486253
A3D9XIIMIFT8J5,M,35,5,50,1,5,1.41160769819
A3D9XIIMIFT8J5,M,35,5,131,15,3,0.315213369498
A3D9XIIMIFT8J5,M,35,5,132,5,5,1.41160769819
A3D9XIIMIFT8J5,M,35,5,133,12,2,-0.232983794847
A3D9XIIMIFT8J5,M,35,5,134,29,3,0.315213369498
A3D9XIIMIFT8J5,M,35,5,135,7,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,136,39,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,137,16,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,138,40,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,139,24,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,140,37,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,231,30,3,0.315213369498
A3D9XIIMIFT8J5,M,35,5,232,3,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,233,20,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,234,36,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,235,14,2,-0.232983794847
A3D9XIIMIFT8J5,M,35,5,236,38,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,237,11,2,-0.232983794847
A3D9XIIMIFT8J5,M,35,5,238,19,2,-0.232983794847
A3D9XIIMIFT8J5,M,35,5,239,23,3,0.315213369498
A3D9XIIMIFT8J5,M,35,5,240,9,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,271,10,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,272,31,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,273,8,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,274,13,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,275,22,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,276,2,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,277,18,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,278,25,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,279,21,1,-0.781180959192
A3D9XIIMIFT8J5,M,35,5,280,34,1,-0.781180959192
A248LF7KKHXZ14,F,45,7,61,8,6,2.83446488362
A248LF7KKHXZ14,F,45,7,62,18,3,0.760466188288
A248LF7KKHXZ14,F,45,7,63,40,3,0.760466188288
A248LF7KKHXZ14,F,45,7,64,15,3,0.760466188288
A248LF7KKHXZ14,F,45,7,65,16,4,1.45179908673
A248LF7KKHXZ14,F,45,7,66,11,2,0.0691332898444
A248LF7KKHXZ14,F,45,7,67,36,3,0.760466188288
A248LF7KKHXZ14,F,45,7,68,4,4,1.45179908673
A248LF7KKHXZ14,F,45,7,69,19,6,2.83446488362
A248LF7KKHXZ14,F,45,7,70,2,4,1.45179908673
A248LF7KKHXZ14,F,45,7,151,24,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,152,5,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,153,29,4,1.45179908673
A248LF7KKHXZ14,F,45,7,154,34,2,0.0691332898444
A248LF7KKHXZ14,F,45,7,155,10,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,156,22,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,157,26,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,158,20,2,0.0691332898444
A248LF7KKHXZ14,F,45,7,159,6,4,1.45179908673
A248LF7KKHXZ14,F,45,7,160,7,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,211,32,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,212,9,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,213,35,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,214,14,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,215,39,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,216,30,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,217,21,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,218,23,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,219,17,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,220,31,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,251,3,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,252,37,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,253,38,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,254,1,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,255,25,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,256,13,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,257,12,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,258,27,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,259,33,1,-0.622199608599
A248LF7KKHXZ14,F,45,7,260,28,1,-0.622199608599
A69KEZJP0BY6B,M,35,5,41,18,6,1.71623266064
A69KEZJP0BY6B,M,35,5,42,38,1,-0.667423812472
A69KEZJP0BY6B,M,35,5,43,29,6,1.71623266064
A69KEZJP0BY6B,M,35,5,44,32,1,-0.667423812472
A69KEZJP0BY6B,M,35,5,45,28,4,0.762770071396
A69KEZJP0BY6B,M,35,5,46,33,1,-0.667423812472
A69KEZJP0BY6B,M,35,5,47,21,6,1.71623266064
A69KEZJP0BY6B,M,35,5,48,17,5,1.23950136602
A69KEZJP0BY6B,M,35,5,49,25,6,1.71623266064
A69KEZJP0BY6B,M,35,5,50,31,7,2.19296395526
A69KEZJP0BY6B,M,35,5,131,19,3,0.286038776774
A69KEZJP0BY6B,M,35,5,132,7,6,1.71623266064
A69KEZJP0BY6B,M,35,5,133,35,1,-0.667423812472
